"naics_code","naics_desc","net_income_private","net_income_public","net_income_total","deprec_private","deprec_public","deprec_total","nonaccrued_private","nonaccrued_public","nonaccrued_total","donations_private","donations_public","donations_total","indirect_business_taxes","subsidies","gross_prod_nonrev","stat_discrepancy","gross_prod"
"11"," Agriculture",664221,51601.9239480272,715822.923948027,352,2331,2683,0,0,0,0,768,768,268,6905,712636.923948027,0,712636.923948027
"1110000","Crop Production",329963.368166536,0,329963.368166536,190,0,190,0,0,0,0,0,0,149,3480,326822.368166536,0,326822.368166536
"1112000"," Vegetable and Melon Farming",58876.7237599595,0,58876.7237599595,21,0,21,0,0,0,0,0,0,15,449,58463.7237599595,NA,58463.7237599595
"1113000"," Fruit and Tree Nut Farming",224379.447243587,0,224379.447243587,153,0,153,0,0,0,0,0,0,120,2600,222052.447243587,NA,222052.447243587
"1114000"," ""Greenhouse, Nursery, and Floriculture Production",46707.1971629899,0,46707.1971629899,16,NA,16,0,NA,0,0,NA,0,14,431,46306.1971629899,NA,46306.1971629899
"1120000"," Animal Production",328621.214341639,0,328621.214341639,161,0,161,0,0,0,0,0,0,117,2622,326277.214341639,0,326277.214341639
"1121000"," Cattle Ranching and Farming",221250.655920416,0,221250.655920416,106,NA,106,0,NA,0,0,NA,0,70,1618,219808.655920416,NA,219808.655920416
"1122000"," Hog and Pig Farming",23146.9561092433,0,23146.9561092433,10,NA,10,0,NA,0,0,NA,0,7,182,22981.9561092433,NA,22981.9561092433
"1129000"," Other Animal Production",84223.602311979,0,84223.602311979,45,NA,45,0,NA,0,0,NA,0,40,822,83486.602311979,NA,83486.602311979
"1130000"," Forestry and Logging",171.974301109934,0,171.974301109934,0,NA,0,0,NA,0,0,NA,0,0,1,170.974301109934,NA,170.974301109934
"1140000"," ""Fishing, Hunting and Trapping""",998.845806659605,0,998.845806659605,1,0,1,0,0,0,0,0,0,2,25,976.845806659605,NA,976.845806659605
"1141000"," Fishing",998.845806659605,0,998.845806659605,1,NA,1,0,NA,0,0,NA,0,2,25,976.845806659605,NA,976.845806659605
"1142000"," Hunting and Trapping",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"1150000"," Support Activities for Agriculture and Forestry",4465.59738405564,51601.9239480272,56067.5213320828,0,2331,2331,0,0,0,0,768,768,0,777,58389.5213320828,NA,58389.5213320828
"1151000"," Support Activities for Crop Production",2802.77156542164,51601.9239480272,54404.6955134488,0,2331,2331,0,0,0,0,768,768,0,766,56737.6955134488,NA,56737.6955134488
"1152000"," Support Activities for Animal Production",1662.825818634,0,1662.825818634,0,NA,0,0,NA,0,0,NA,0,0,11,1651.825818634,NA,1651.825818634
"1153000"," Support Activities for Forestry",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"21"," Mining",14378,0,14378,12013,0,12013,521,0,521,42,0,42,4886,179,31661,NA,31661
"2120000"," Mining (except Oil and Gas)",13549.1003575077,0,13549.1003575077,11992,0,11992,521,0,521,42,0,42,4877,177,30804.1003575077,NA,30804.1003575077
"2121000"," Coal Mining",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"2122000"," Metal Ore Mining",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"2123000"," Nonmetallic Mineral Mining and Quarrying",13549.1003575077,0,13549.1003575077,11992,NA,11992,521,NA,521,42,NA,42,4877,177,30804.1003575077,NA,30804.1003575077
"2130000"," Support Activities for Mining",828.899642492339,0,828.899642492339,21,NA,21,0,NA,0,0,NA,0,9,2,856.899642492339,NA,856.899642492339
"22","Utilities",269003,841374.19775897,1110377.19775897,30139,567069,597208,316,43795,44111,0,1322,1322,10867,11771,1752114.19775897,NA,1752114.19775897
"2211000"," ""Electric Power Generation, Transmission and Dist",254645.786610107,757450.488020026,1012096.27463013,28776,344653,373429,315,15471,15786,0,0,0,10193,9453,1402051.27463013,NA,1402051.27463013
"2212000"," Natural Gas Distribution",1825.48668124572,0,1825.48668124572,356,NA,356,1,NA,1,0,NA,0,324,41,2465.48668124572,NA,2465.48668124572
"2213000"," ""Water, Sewage and Other Systems""",12531.7267086473,83923.7097389438,96455.4364475911,1007,222416,223423,0,28324,28324,0,1322,1322,350,2277,347597.436447591,NA,347597.436447591
"23"," Construction",1103515,0,1103515,144687,0,144687,31581,0,31581,1838,0,1838,109687,10108,1381200,NA,1381200
"2361000"," Residential Building Construction",334562.4903366,0,334562.4903366,44298,NA,44298,9865,NA,9865,914,NA,914,33564,2914,420289.4903366,NA,420289.4903366
"2362000"," Nonresidential Building Construction",210117.786239549,0,210117.786239549,36969,NA,36969,6233,NA,6233,256,NA,256,25424,2174,276825.786239549,NA,276825.786239549
"2371000"," Utility System Construction",50328.4265135489,0,50328.4265135489,1403,NA,1403,1921,NA,1921,10,NA,10,1105,378,54389.4265135489,NA,54389.4265135489
"2372000"," Land Subdivision",19867.6893896876,0,19867.6893896876,1056,NA,1056,335,NA,335,13,NA,13,1373,254,22390.6893896876,NA,22390.6893896876
"2373000"," ""Highway, Street, and Bridge Construction""",108853.534660162,0,108853.534660162,19447,NA,19447,1228,NA,1228,192,NA,192,13843,1033,142530.534660162,NA,142530.534660162
"2379000"," Other Heavy and Civil Engineering Construction",10339.9220883881,0,10339.9220883881,400,NA,400,19,NA,19,0,NA,0,2695,14,13439.9220883881,NA,13439.9220883881
"2381000"," ""Foundation, Structure, and Building Exterior Con",47114.8360028206,0,47114.8360028206,12409,NA,12409,2331,NA,2331,30,NA,30,9690,419,71155.8360028206,NA,71155.8360028206
"2382000"," Building Equipment Contractors",266798.728028897,0,266798.728028897,22360,NA,22360,6337,NA,6337,329,NA,329,16633,2415,310042.728028897,NA,310042.728028897
"2383000"," Building Finishing Contractors",25880.5422009239,0,25880.5422009239,1144,NA,1144,1649,NA,1649,25,NA,25,1065,247,29516.5422009239,NA,29516.5422009239
"2389000"," Other Specialty Trade Contractors",29651.0445394235,0,29651.0445394235,5201,NA,5201,1663,NA,1663,69,NA,69,4295,260,40619.0445394235,NA,40619.0445394235
"31-33","Manufacturing",44514531,0,44514531,2271559,0,2271559,0,0,0,1876,0,1876,1641681,432864,47996783,NA,47996783
"3110000"," Food Manufacturing",754057.385685646,0,754057.385685646,63177,0,63177,0,0,0,317,0,317,48126,6371,859306.385685646,NA,859306.385685646
"3111000"," Animal Food Manufacturing",76423.970105607,0,76423.970105607,9037,NA,9037,0,NA,0,18,NA,18,8873,650,93701.970105607,NA,93701.970105607
"3113000"," Sugar and Confectionery Product Manufacturing",12992.0840344294,0,12992.0840344294,754,0,754,0,0,0,8,0,8,555,92,14217.0840344294,NA,14217.0840344294
"3114000"," Fruit and Vegetable Preserving and Specialty Food",54992.3260796308,0,54992.3260796308,5654,0,5654,0,0,0,51,0,51,3790,390,64097.3260796308,NA,64097.3260796308
"3115000"," Dairy Product Manufacturing",48484.7829143892,0,48484.7829143892,3856,NA,3856,0,NA,0,4,NA,4,3290,399,55235.7829143892,NA,55235.7829143892
"3116000"," Animal Slaughtering and Processing",39755.4939314497,0,39755.4939314497,3340,NA,3340,0,NA,0,24,NA,24,3720,447,46392.4939314497,NA,46392.4939314497
"3118000"," Bakeries and Tortilla Manufacturing",161283.826282392,0,161283.826282392,11504,NA,11504,0,NA,0,172,NA,172,6783,1352,178390.826282392,NA,178390.826282392
"3119000"," Other Food Manufacturing",360124.902337748,0,360124.902337748,29032,0,29032,0,0,0,40,0,40,21115,3041,407270.902337748,NA,407270.902337748
"3120000"," Beverage and Tobacco Product Manufacturing",1136358.97687383,0,1136358.97687383,185149,0,185149,0,0,0,500,0,500,134714,8760,1447961.97687383,NA,1447961.97687383
"3121000"," Beverage Manufacturing",1070350.91031682,0,1070350.91031682,183362,NA,183362,0,NA,0,499,NA,499,131980,7755,1378436.91031682,NA,1378436.91031682
"3122000"," Tobacco Manufacturing",66008.0665570044,0,66008.0665570044,1787,NA,1787,0,NA,0,1,NA,1,2734,1005,69525.0665570044,NA,69525.0665570044
"3130000","Textile Mills",729.045726883821,0,729.045726883821,15,0,15,0,0,0,0,0,0,24,4,764.045726883821,NA,764.045726883821
"3131000"," ""Fiber, Yarn, and Thread Mills""",729.045726883821,0,729.045726883821,15,NA,15,0,NA,0,0,NA,0,24,4,764.045726883821,NA,764.045726883821
"3132000"," Fabric Mills",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3133000"," Textile and Fabric Finishing and Fabric Coating M",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3140000","Textile Product Mills",8111.12904736611,0,8111.12904736611,563,0,563,0,0,0,79,0,79,506,82,9177.12904736611,NA,9177.12904736611
"3141000"," Textile Furnishings Mills",5274.2951914235,0,5274.2951914235,149,NA,149,0,NA,0,1,NA,1,126,39,5511.2951914235,NA,5511.2951914235
"3149000"," Other Textile Product Mills",2836.83385594261,0,2836.83385594261,414,NA,414,0,NA,0,78,NA,78,380,43,3665.83385594261,NA,3665.83385594261
"3150000"," Apparel Manufacturing",178633.916028398,0,178633.916028398,16238,0,16238,0,0,0,7,0,7,11120,2178,203820.916028398,NA,203820.916028398
"3151000"," Apparel Knitting Mills",178633.916028398,0,178633.916028398,16238,NA,16238,0,NA,0,7,NA,7,11120,2178,203820.916028398,NA,203820.916028398
"3152000"," Cut and Sew Apparel Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3159000"," Apparel Accessories and Other Apparel Manufacturi",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3160000"," Leather and Allied Product Manufacturing",14074.7323440882,0,14074.7323440882,751,0,751,0,0,0,0,0,0,1016,168,15673.7323440882,NA,15673.7323440882
"3161000"," Leather and Hide Tanning and Finishing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3162000"," Footwear Manufacturing",12034.7323440882,0,12034.7323440882,660,NA,660,0,NA,0,0,NA,0,985,157,13522.7323440882,NA,13522.7323440882
"3169000"," Other Leather and Allied Product Manufacturing",2040,0,2040,91,NA,91,0,NA,0,0,NA,0,31,11,2151,NA,2151
"3210000"," Wood Product Manufacturing",17396.9930775689,0,17396.9930775689,2335,0,2335,0,0,0,6,0,6,1557,133,21161.9930775689,NA,21161.9930775689
"3211000"," Sawmills and Wood Preservation",3059.96361725582,0,3059.96361725582,211,NA,211,0,NA,0,0,NA,0,157,12,3415.96361725582,NA,3415.96361725582
"3219000"," Other Wood Product Manufacturing",14337.0294603131,0,14337.0294603131,2124,NA,2124,0,NA,0,6,NA,6,1400,121,17746.0294603131,NA,17746.0294603131
"3220000"," Paper Manufacturing",35621.2760690644,0,35621.2760690644,6816,0,6816,0,0,0,10,0,10,4034,280,46201.2760690644,NA,46201.2760690644
"3221000"," ""Pulp, Paper, and Paperboard Mills""",13734.5561419441,0,13734.5561419441,694,NA,694,0,NA,0,0,NA,0,403,89,14742.5561419441,NA,14742.5561419441
"3222000"," Converted Paper Product Manufacturing",21886.7199271203,0,21886.7199271203,6122,NA,6122,0,NA,0,10,NA,10,3631,191,31458.7199271203,NA,31458.7199271203
"3231000"," Printing and Related Support Activities",67318.0996498803,0,67318.0996498803,11308,NA,11308,0,NA,0,98,NA,98,9835,774,87785.0996498803,NA,87785.0996498803
"3241000"," Petroleum and Coal Products Manufacturing",46907.5581295728,0,46907.5581295728,160391,NA,160391,0,NA,0,71,NA,71,126216,417,333168.558129573,NA,333168.558129573
"3250000","Chemical Manufacturing",28900403.1945991,0,28900403.1945991,1489405,0,1489405,0,0,0,204,0,204,1037596,325970,31101638.1945991,NA,31101638.1945991
"3251000"," Basic Chemical Manufacturing",4073141.6253377,0,4073141.6253377,47104,NA,47104,0,NA,0,19,NA,19,34957,39895,4115326.6253377,NA,4115326.6253377
"3252000"," ""Resin, Synthetic Rubber, and Artificial Syntheti",13889.4074753117,0,13889.4074753117,1346,NA,1346,0,NA,0,2,NA,2,312,78,15471.4074753117,NA,15471.4074753117
"3253000"," ""Pesticide, Fertilizer, and Other Agricultural Ch",371407,0,371407,22425,NA,22425,0,NA,0,9,NA,9,17238,2637,408442,NA,408442
"3254000"," Pharmaceutical and Medicine Manufacturing",24330652.4033344,0,24330652.4033344,1399804,NA,1399804,0,NA,0,78,NA,78,971684,282355,26419863.4033344,NA,26419863.4033344
"3255000"," ""Paint, Coating, and Adhesive Manufacturing""",69676.3086022058,0,69676.3086022058,4616,NA,4616,0,NA,0,93,NA,93,4107,501,77991.3086022058,NA,77991.3086022058
"3256000"," ""Soap, Cleaning Compound, and Toilet Preparation",37694.0450129367,0,37694.0450129367,14009,NA,14009,0,NA,0,0,NA,0,9220,416,60507.0450129367,NA,60507.0450129367
"3259000"," Other Chemical Product and Preparation Manufactur",3942.40483656323,0,3942.40483656323,101,NA,101,0,NA,0,3,NA,3,78,88,4036.40483656323,NA,4036.40483656323
"3260000","Plastics and Rubber Products Manufacturing",70217.5532861557,0,70217.5532861557,23269,0,23269,0,0,0,34,0,34,16550,589,109481.553286156,NA,109481.553286156
"3261000"," Plastics Product Manufacturing",67247.8633162557,0,67247.8633162557,23135,NA,23135,0,NA,0,33,NA,33,16460,564,106311.863316256,NA,106311.863316256
"3262000"," Rubber Product Manufacturing",2969.68996989999,0,2969.68996989999,134,NA,134,0,NA,0,1,NA,1,90,25,3169.68996989999,NA,3169.68996989999
"3270000","Nonmetallic Mineral Product Manufacturing",75518.9823683624,0,75518.9823683624,20021,0,20021,0,0,0,60,0,60,29796,406,124989.982368362,NA,124989.982368362
"3271000"," Clay Product and Refractory Manufacturing",531.672492474998,0,531.672492474998,119,NA,119,0,NA,0,0,NA,0,8,1,657.672492474998,NA,657.672492474998
"3272000"," Glass and Glass Product Manufacturing",3233.90447958968,0,3233.90447958968,328,NA,328,0,NA,0,2,NA,2,178,15,3726.90447958968,NA,3726.90447958968
"3273000"," Cement and Concrete Product Manufacturing",62856.9165253051,0,62856.9165253051,19193,NA,19193,0,NA,0,57,NA,57,29347,333,111120.916525305,NA,111120.916525305
"3274000"," Lime and Gypsum Product Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3279000"," Other Nonmetallic Mineral Product Manufacturing",8896.48887099261,0,8896.48887099261,381,NA,381,0,NA,0,1,NA,1,263,57,9484.48887099261,NA,9484.48887099261
"3310000"," Primary Metal Manufacturing",147862.293763529,0,147862.293763529,14886,0,14886,0,0,0,4,0,4,11621,1464,172909.293763529,NA,172909.293763529
"3311000"," Iron and Steel Mills and Ferroalloy Manufacturing",147862.293763529,0,147862.293763529,14886,NA,14886,0,NA,0,4,NA,4,11621,1464,172909.293763529,NA,172909.293763529
"3312000"," Steel Product Manufacturing from Purchased Steel",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3313000"," Alumina and Aluminum Production and Processing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3314000"," Nonferrous Metal (except Aluminum) Production and",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3315000"," Foundries",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3320000"," Fabricated Metal Product Manufacturing",131696.271568342,0,131696.271568342,17352,0,17352,0,0,0,125,0,125,15496,1154,163515.271568342,NA,163515.271568342
"3321000"," Forging and Stamping",1085.05985161323,0,1085.05985161323,46,NA,46,0,NA,0,0,NA,0,13,10,1134.05985161323,NA,1134.05985161323
"3322000"," Cutlery and Handtool Manufacturing",68879.9141035966,0,68879.9141035966,12596,NA,12596,0,NA,0,109,NA,109,11608,626,92566.9141035966,NA,92566.9141035966
"3324000"," ""Boiler, Tank, and Shipping Container Manufacturi",33252.9432840424,0,33252.9432840424,3885,NA,3885,0,NA,0,0,NA,0,3370,329,40178.9432840424,NA,40178.9432840424
"3325000"," Hardware Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3326000"," Spring and Wire Product Manufacturing",3124.21115699411,0,3124.21115699411,225,NA,225,0,NA,0,1,NA,1,75,23,3402.21115699411,NA,3402.21115699411
"3327000"," ""Machine Shops; Turned Product; and Screw, Nut, a",2818.28848603234,0,2818.28848603234,117,NA,117,0,NA,0,0,NA,0,106,26,3015.28848603234,NA,3015.28848603234
"3328000"," ""Coating, Engraving, Heat Treating, and Allied Ac",3833.20709035143,0,3833.20709035143,270,NA,270,0,NA,0,0,NA,0,227,27,4303.20709035143,NA,4303.20709035143
"3329000"," Other Fabricated Metal Product Manufacturing",18702.6475957117,0,18702.6475957117,213,NA,213,0,NA,0,15,NA,15,97,113,18914.6475957117,NA,18914.6475957117
"3330000"," Machinery Manufacturing",235986.66414215,0,235986.66414215,12765,0,12765,0,0,0,46,0,46,11123,1831,258089.66414215,NA,258089.66414215
"3331000"," ""Agriculture, Construction, and Mining Machinery",235986.66414215,0,235986.66414215,12765,NA,12765,0,NA,0,46,NA,46,11123,1831,258089.66414215,NA,258089.66414215
"3332000"," Industrial Machinery Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3333000"," Commercial and Service Industry Machinery Manufac",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3334000"," ""Ventilation, Heating, Air-Conditioning, and Comm",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3335000"," Metalworking Machinery Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3336000"," ""Engine, Turbine, and Power Transmission Equipmen",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3339000"," Other General Purpose Machinery Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3340000"," Computer and Electronic Product Manufacturing",9764694.85782172,0,9764694.85782172,108727,0,108727,0,0,0,105,0,105,79618,61773,9891371.85782172,NA,9891371.85782172
"3341000"," Computer and Peripheral Equipment Manufacturing",9764694.85782172,0,9764694.85782172,108727,NA,108727,0,NA,0,105,NA,105,79618,61773,9891371.85782172,NA,9891371.85782172
"3342000"," Communications Equipment Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3343000"," Audio and Video Equipment Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3344000"," Semiconductor and Other Electronic Component Manu",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3345000"," ""Navigational, Measuring, Electromedical, and Con",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3346000"," Manufacturing and Reproducing Magnetic and Optica",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3350000"," ""Electrical Equipment, Appliance, and Component M",707925.607860272,0,707925.607860272,21489,0,21489,0,0,0,15,0,15,21121,5319,745231.607860272,NA,745231.607860272
"3351000"," Electric Lighting Equipment Manufacturing",707925.607860272,0,707925.607860272,21489,NA,21489,0,NA,0,15,NA,15,21121,5319,745231.607860272,NA,745231.607860272
"3352000"," Household Appliance Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3353000"," Electrical Equipment Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3359000"," Other Electrical Equipment and Component Manufact",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3360000"," Transportation Equipment Manufacturing",79606.5587806926,0,79606.5587806926,7548,0,7548,0,0,0,15,0,15,4703,541,91331.5587806926,NA,91331.5587806926
"3361000"," Motor Vehicle Manufacturing",79606.5587806926,0,79606.5587806926,7548,NA,7548,0,NA,0,15,NA,15,4703,541,91331.5587806926,NA,91331.5587806926
"3362000"," Motor Vehicle Body and Trailer Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3363000"," Motor Vehicle Parts Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3364000"," Aerospace Product and Parts Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3366000"," Ship and Boat Building",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3369000"," Other Transportation Equipment Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3370000"," Furniture and Related Product Manufacturing",31578.0979421189,0,31578.0979421189,2204,0,2204,0,0,0,108,0,108,2179,272,35797.0979421189,NA,35797.0979421189
"3371000"," Household and Institutional Furniture and Kitchen",31578.0979421189,0,31578.0979421189,2204,NA,2204,0,NA,0,108,NA,108,2179,272,35797.0979421189,NA,35797.0979421189
"3372000"," Office Furniture (including Fixtures) Manufacturi",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3379000"," Other Furniture Related Product Manufacturing",0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0
"3390000","Miscellaneous Manufacturing",2109831.80523523,0,2109831.80523523,107150,0,107150,0,0,0,72,0,72,74730,14378,2277405.80523523,NA,2277405.80523523
"3391000"," Medical Equipment and Supplies Manufacturing",2093192.17462004,0,2093192.17462004,104122,NA,104122,0,NA,0,65,NA,65,73527,14208,2256698.17462004,NA,2256698.17462004
"3399000"," Other Miscellaneous Manufacturing",16639.6306151939,0,16639.6306151939,3028,NA,3028,0,NA,0,7,NA,7,1203,170,20707.6306151939,NA,20707.6306151939
"42","Wholesalers",2315051,0,2315051,330266,0,330266,61631,0,61631,3946,0,3946,253886,19714,2945066,NA,2945066
"4230000"," ""Merchant Wholesalers, Durable Goods""",888835.318381678,0,888835.318381678,149391,0,149391,23851,0,23851,1104,0,1104,117917,6841,1174257.31838168,NA,1174257.31838168
"4231000"," Motor Vehicle and Motor Vehicle Parts and Supplie",142923.401053327,0,142923.401053327,32562,NA,32562,765,NA,765,301,NA,301,28043,1348,203246.401053327,NA,203246.401053327
"4232000"," Furniture and Home Furnishing Merchant Wholesaler",20732.3017120585,0,20732.3017120585,493,NA,493,260,NA,260,22,NA,22,323,188,21642.3017120585,NA,21642.3017120585
"4233000"," Lumber and Other Construction Materials Merchant",32007.7337290019,0,32007.7337290019,18761,NA,18761,1871,NA,1871,49,NA,49,11432,248,63872.7337290019,NA,63872.7337290019
"4234000"," Professional and Commercial Equipment and Supplie",303565.022193947,0,303565.022193947,39527,NA,39527,11284,NA,11284,356,NA,356,24895,2025,377602.022193947,NA,377602.022193947
"4235000"," Metal and Mineral (except Petroleum) Merchant Who",23278.4554188343,0,23278.4554188343,990,NA,990,212,NA,212,1,NA,1,762,182,25061.4554188343,NA,25061.4554188343
"4236000"," Electrical and Electronic Goods Merchant Wholesal",108227.009510541,0,108227.009510541,24659,NA,24659,4403,NA,4403,110,NA,110,19008,888,155519.009510541,NA,155519.009510541
