naics_code,naics_desc,year,variable,value
5111,"""Newspaper, Periodical, Book, and Directory Publi",2011,gross_prod_nominal,170117.078400435
5112,Software Publishers,2011,gross_prod_nominal,10603
517,Telecommunications,2011,gross_prod_nominal,1920642.36936603
518,"""Internet Service Providers, Web Search Portals,",2011,gross_prod_nominal,176989.1390642
5191,Other Information Services,2011,gross_prod_nominal,6732.752257889
5413,"""Architectural, Engineering, and Related Services",2011,gross_prod_nominal,262758.938826916
5414,Specialized Design Services,2011,gross_prod_nominal,10893.5174850339
5415,Computer Systems Design and Related Services,2011,gross_prod_nominal,167665.780921849
5416,"""Management, Scientific, and Technical Consulting",2011,gross_prod_nominal,295471.396022114
5417,Scientific Research and Development Services,2011,gross_prod_nominal,25204.5943275868
6114,Business Schools and Computer and Management Trai,2011,gross_prod_nominal,30683.4498851728
6215,Medical and Diagnostic Laboratories,2011,gross_prod_nominal,240626.386866084
6221,General Medical and Surgical Hospitals,2011,gross_prod_nominal,1553249.46577612
5111,"""Newspaper, Periodical, Book, and Directory Publi",2011,gross_prod_share,0.0349198941
5112,Software Publishers,2011,gross_prod_share,0.0021764754
517,Telecommunications,2011,gross_prod_share,0.3942498234
518,"""Internet Service Providers, Web Search Portals,",2011,gross_prod_share,0.0363305204
5191,Other Information Services,2011,gross_prod_share,0.0013820305
5413,"""Architectural, Engineering, and Related Services",2011,gross_prod_share,0.0539364678
5414,Specialized Design Services,2011,gross_prod_share,0.0022361099
5415,Computer Systems Design and Related Services,2011,gross_prod_share,0.0344167168
5416,"""Management, Scientific, and Technical Consulting",2011,gross_prod_share,0.0606513464
5417,Scientific Research and Development Services,2011,gross_prod_share,0.0051737414
6114,Business Schools and Computer and Management Trai,2011,gross_prod_share,0.0062983848
6215,Medical and Diagnostic Laboratories,2011,gross_prod_share,0.0493933238
6221,General Medical and Surgical Hospitals,2011,gross_prod_share,0.3188351654
5111,"""Newspaper, Periodical, Book, and Directory Publi",2012,gross_prod_nominal,174755.957329608
5112,Software Publishers,2012,gross_prod_nominal,12476.9921195509
517,Telecommunications,2012,gross_prod_nominal,1923548.14467861
518,"""Internet Service Providers, Web Search Portals,",2012,gross_prod_nominal,195435.754638659
5191,Other Information Services,2012,gross_prod_nominal,6772.4183227031
5413,"""Architectural, Engineering, and Related Services",2012,gross_prod_nominal,281958.445504879
5414,Specialized Design Services,2012,gross_prod_nominal,11558.2723991313
5415,Computer Systems Design and Related Services,2012,gross_prod_nominal,171089.518888991
5416,"""Management, Scientific, and Technical Consulting",2012,gross_prod_nominal,348977.236640054
5417,Scientific Research and Development Services,2012,gross_prod_nominal,29631.5200819798
6114,Business Schools and Computer and Management Trai,2012,gross_prod_nominal,35391.5488048757
