"fix","EIN","NAICS","emp_m1","emp_m2","emp_m3","tot_wages"
NA,"660177929","517110",99,100,100,1428520
NA,"660290300","621511",476,475,491,3474022
NA,"660258919","622110",874,877,878,5910231
NA,"660219758","622110",2148,2173,2174,14717903
NA,"660329532","622110",364,365,367,2649637
NA,"660356613","621511",58,58,58,311325
NA,"660433860","621511",297,313,319,2275743
NA,"660374485","511120",21,21,20,109233
NA,"660465905","622110",4579,4586,4625,36954076
NA,"133120943","517210",1635,1627,1635,21629285
NA,"660469564","517110",162,154,152,2202465
NA,"660487554","621511",53,53,53,465571
NA,"043073945","517919",36,36,36,422788
NA,"660547145","621512",17,17,17,112592
NA,"660564397","517110",3931,3665,3665,35053490
NA,"660558678","622110",377,381,381,2344642
NA,"660568306","621511",20,21,20,82314
NA,"660605229","621511",234,234,246,2007435
NA,"660649631","517110",577,569,581,9271170
NA,"660659935","517110",687,682,616,7887942
NA,"660612428","621512",61,60,59,366258
NA,"660663715","621511",86,81,88,389165
NA,"660700383","621511",133,131,133,894664
NA,"660770871","518210",503,482,520,2361353
