"naics_code","naics_desc","emp_m1","emp_m2","emp_m3","tot_wages"
"5111","Newspaper, Periodical, Book, and Directory Publishers","2445","2446","2438","23075095"
"5112","Software Publishers","220","221","221","5327978"
"517","Telecommunications","9718","9470","9362","102672685"
"518","Data Processing, Hosting, and Related Services","1529","1528","1576","20705883"
"51913","Internet Publishing and Broadcasting and Web Search Portals","39","39","39","511655"
"5413","Architectural, Engineering, and Related Services","3514","3548","3582","36057878"
"5414","Specialized Design Services","134","137","140","862047"
"5415","Computer Systems Design and Related Services","2261","2257","2271","26910844"
"5416","Management, Scientific, and Technical Consulting Services","2888","2907","2913","26082040"
"541711","Research and Development in Biotechnology ","626","475","370","2622338"
"541712","Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology) ","361","381","405","3913479"
"61142","Computer Training","141","145","152","1153910"
"62151","Medical and Diagnostic Laboratories","4246","4272","4342","27195980"
"6221","General Medical and Surgical Hospitals","26735","26779","26880","185782253"
"","Total","54857","54605","54691","462874065"
