"occupational_code","occupational_code_title","total_employment","annual_mean_wage"
"11-3021","Computer and Information Systems Managers",1000,"75030"
"15-1121","Computer Systems Analysts",1030,"50780"
"15-1122","Information Security Analysts",160,"45760"
"15-1131","Computer Programmers",1290,"44250"
"15-1132","Software Developers, Applications",390,"46170"
"15-1133","Software Developers, Systems Software",550,"68560"
"15-1134","Web Developers",110,"38420"
"15-1141","Database Administrators",350,"47470"
"15-1142","Network and Computer Systems Administrators",910,"46720"
"15-1143","Computer Network Architects",390,"49460"
"15-1151","Computer User Support Specialists",2920,"28130"
"15-1152","Computer Network Support Specialists",530,"36970"
"15-2041","Statisticians",230,"31080"
"17-2061","Computer Hardware Engineers",170,"76920"
"43-9011","Computer Operators",860,"22970"
"43-9021","Data Entry Keyers",2780,"20160"
