"occupational_code","occupational_code_title","total_employment","employment_pct_share"
"11-3021","Computer and Information Systems Managers",980,0.0728624535315985
"15-1121","Computer Systems Analysts",1070,0.0795539033457249
"15-1122","Information Security Analysts",230,0.0171003717472119
"15-1131","Computer Programmers",1260,0.0936802973977695
"15-1132","Software Developers, Applications",470,0.0349442379182156
"15-1133","Software Developers, Systems Software",210,0.0156133828996283
"15-1134","Web Developers",110,0.00817843866171004
"15-1141","Database Administrators",450,0.033457249070632
"15-1142","Network and Computer Systems Administrators",650,0.0483271375464684
"15-1143","Computer Network Architects",390,0.028996282527881
"15-1151","Computer User Support Specialists",2900,0.215613382899628
"15-1152","Computer Network Support Specialists",590,0.0438661710037175
"15-2041","Statisticians",240,0.0178438661710037
"17-2061","Computer Hardware Engineers",450,0.033457249070632
"43-9011","Computer Operators",700,0.0520446096654275
"43-9021","Data Entry Keyers",2750,0.204460966542751
