"naics_code","naics_title","total_employees","annual_mean_wage","ICT_employees"
"511","Publishing Industries (except Internet)",2910,"36660",60
"5111","Newspaper, Periodical, Book, and Directory Publishers",2680,"34950",30
"517","Telecommunications",9960,"35510",550
"518","Data Processing, Hosting, and Related Services",2110,"38910",440
"5191","Other Information Services",150,"41260",0
"5413","Architectural, Engineering, and Related Services",5170,"42990",0
"5414","Specialized Design Services",210,"26200",0
"5415","Computer Systems Design and Related Services",3170,"45230",1040
"5416","Management, Scientific, and Technical Consulting Services",5940,"36590",260
"54171","Research and Development in the Physical, Engineering, and Life Sciences",570,"38720",0
"6114","Business Schools and Computer and Management Training (including private, state, and local government schools)",NA,"27320",NA
"6215","Medical and Diagnostic Laboratories",5710,"27080",0
"6221","General Medical and Surgical Hospitals (including private, state, and local government hospitals)",30910,"26000",190
