"naics_code","naics_title","total_employees","average_wage_all_employees","ICT_employees"
"511","Publishing Industries (except Internet)",2810,"40150",120
"5111","Newspaper, Periodical, Book, and Directory Publishers",2600,"37630",0
"517","Telecommunications",9580,"36200",590
"518","Data Processing, Hosting, and Related Services",1940,NA,180
"5191","Other Information Services",170,NA,0
"5413","Architectural, Engineering, and Related Services",4800,"44030",0
"5414","Specialized Design Services",230,"26270",0
"5415","Computer Systems Design and Related Services",3530,"46980",980
"5416","Management, Scientific, and Technical Consulting Services",6030,"35830",280
"54171","Research and Development in the Physical, Engineering, and Life Sciences",720,"43150",0
"6114","Business Schools and Computer and Management Training",900,"30470",0
"6215","Medical and Diagnostic Laboratories",5780,"25730",0
"6221","General Medical and Surgical Hospitals",31320,"26620",150
