"naics_code","naics_title","ICT_employees","ICT_employees_pct_share"
"511","Publishing Industries (except Internet)",60,0.0233463035019455
"5111","Newspaper, Periodical, Book, and Directory Publishers",30,0.0116731517509728
"517","Telecommunications",550,0.214007782101167
"518","Data Processing, Hosting, and Related Services",440,0.171206225680934
"5191","Other Information Services",0,0
"5413","Architectural, Engineering, and Related Services",0,0
"5414","Specialized Design Services",0,0
"5415","Computer Systems Design and Related Services",1040,0.404669260700389
"5416","Management, Scientific, and Technical Consulting Services",260,0.101167315175097
"54171","Research and Development in the Physical, Engineering, and Life Sciences",0,0
"6114","Business Schools and Computer and Management Training",0,0
"6215","Medical and Diagnostic Laboratories",0,0
"6221","General Medical and Surgical Hospitals",190,0.0739299610894942
"","Total",2570,1
