"Cohort","2012","2013","2014"
"Educational Attainment -- 18 to 24 years old","","",""
"Less than high school graduate","16.2%","15.2%","13.9%"
"High school graduate (includes equivalency)","27.8%","28.8%","28.8%"
"Some college or associate's degree","49.9%","49.9%","50.8%"
"Bachelor's degree or higher","6.2%","6.2%","6.5%"
"Educational Attainment -- 25 years old or more","","",""
"Less than 9th grade","20.1%","19.1%","18.2%"
"9th to 12th grade, no diploma","10.2%","10.0%","9.8%"
"High school graduate (includes equivalency)","25.7%","26.3%","26.8%"
"Some college, no degree","12.8%","12.6%","12.5%"
"Associate's degree","8.7%","8.9%","9.1%"
"Bachelor's degree","16.4%","16.8%","17.0%"
"Graduate or professional degree","6.1%","6.3%","6.6%"
"Educational Attainment -- 25 to 34 years old","","",""
"High school graduate or higher","83.9%","84.9%","85.6%"
"Bachelor's degree or higher","27.4%","27.9%","28.6%"
"Educational Attainment -- 35 to 44 years old","","",""
"High school graduate or higher","82.2%","83.0%","83.6%"
"Bachelor's degree or higher","28.9%","29.7%","30.3%"
"Educational Attainment -- 45 to 64 years old","","",""
"High school graduate or higher","71.4%","73.3%","74.6%"
"Bachelor's degree or higher","22.8%","23.7%","24.4%"
"Educational Attainment -- 65 years old or more","","",""
"High school graduate or higher","43.2%","45.1%","47.4%"
"Bachelor's degree or higher","11.9%","12.4%","13.1%"
"Poverty Rate for the Population 25 and over","","",""
"    Less than high school graduate","61.3%","61.3%","61.8%"
"    High school graduate (includes equivalency)","44.8%","45.3%","46.1%"
"    Some college or associate's degree","32.2%","32.9%","33.7%"
"    Bachelor's degree or higher","12.6%","13.2%","13.6%"
"Median Earnings","","",""
"  Less than high school graduate","10,767","10,807","10,891"
"  High school graduate (includes equivalency)","14,419","14,588","14,902"
"  Some college or associate's degree","17,268","17,321","17,373"
"  Bachelor's degree","26,085","26,025","26,135"
"  Graduate or professional degree","36,836","37,218","36,955"
