"year","Cohort","Concept","variable","value"
"2012","Educational Attainment -- 18 to 24 years old","Less than high school graduate","Percentage.of.Respective.Population","16.2%"
"2012","Educational Attainment -- 18 to 24 years old","High school graduate (includes equivalency)","Percentage.of.Respective.Population","27.8%"
"2012","Educational Attainment -- 18 to 24 years old","Some college or associate's degree","Percentage.of.Respective.Population","49.9%"
"2012","Educational Attainment -- 18 to 24 years old","Bachelor's degree or higher","Percentage.of.Respective.Population","6.2%"
"2012","Educational Attainment -- 25 years old or more","Less than 9th grade","Percentage.of.Respective.Population","20.1%"
"2012","Educational Attainment -- 25 years old or more","9th to 12th grade, no diploma","Percentage.of.Respective.Population","10.2%"
"2012","Educational Attainment -- 25 years old or more","High school graduate (includes equivalency)","Percentage.of.Respective.Population","25.7%"
"2012","Educational Attainment -- 25 years old or more","Some college, no degree","Percentage.of.Respective.Population","12.8%"
"2012","Educational Attainment -- 25 years old or more","Associate's degree","Percentage.of.Respective.Population","8.7%"
"2012","Educational Attainment -- 25 years old or more","Bachelor's degree","Percentage.of.Respective.Population","16.4%"
"2012","Educational Attainment -- 25 years old or more","Graduate or professional degree","Percentage.of.Respective.Population","6.1%"
"2012","Educational Attainment -- 25 to 34 years old","High school graduate or higher","Percentage.of.Respective.Population","83.9%"
"2012","Educational Attainment -- 25 to 34 years old","Bachelor's degree or higher","Percentage.of.Respective.Population","27.4%"
"2012","Educational Attainment -- 35 to 44 years old","High school graduate or higher","Percentage.of.Respective.Population","82.2%"
"2012","Educational Attainment -- 35 to 44 years old","Bachelor's degree or higher","Percentage.of.Respective.Population","28.9%"
"2012","Educational Attainment -- 45 to 64 years old","High school graduate or higher","Percentage.of.Respective.Population","71.4%"
"2012","Educational Attainment -- 45 to 64 years old","Bachelor's degree or higher","Percentage.of.Respective.Population","22.8%"
"2012","Educational Attainment -- 65 years old or more","High school graduate or higher","Percentage.of.Respective.Population","43.2%"
"2012","Educational Attainment -- 65 years old or more","Bachelor's degree or higher","Percentage.of.Respective.Population","11.9%"
"2012","Poverty Rate for the Population 25 and over","    Less than high school graduate","Percentage.of.Respective.Population","61.3%"
"2012","Poverty Rate for the Population 25 and over","    High school graduate (includes equivalency)","Percentage.of.Respective.Population","44.8%"
"2012","Poverty Rate for the Population 25 and over","    Some college or associate's degree","Percentage.of.Respective.Population","32.2%"
"2012","Poverty Rate for the Population 25 and over","    Bachelor's degree or higher","Percentage.of.Respective.Population","12.6%"
"2012","Median Earnings","  Less than high school graduate","Percentage.of.Respective.Population","10,767"
"2012","Median Earnings","  High school graduate (includes equivalency)","Percentage.of.Respective.Population","14,419"
"2012","Median Earnings","  Some college or associate's degree","Percentage.of.Respective.Population","17,268"
"2012","Median Earnings","  Bachelor's degree","Percentage.of.Respective.Population","26,085"
"2012","Median Earnings","  Graduate or professional degree","Percentage.of.Respective.Population","36,836"
"2013","Educational Attainment -- 18 to 24 years old","Less than high school graduate","Percentage.of.Respective.Population","15.2%"
"2013","Educational Attainment -- 18 to 24 years old","High school graduate (includes equivalency)","Percentage.of.Respective.Population","28.8%"
"2013","Educational Attainment -- 18 to 24 years old","Some college or associate's degree","Percentage.of.Respective.Population","49.9%"
"2013","Educational Attainment -- 18 to 24 years old","Bachelor's degree or higher","Percentage.of.Respective.Population","6.2%"
"2013","Educational Attainment -- 25 years old or more","  Less than 9th grade","Percentage.of.Respective.Population","19.1%"
"2013","Educational Attainment -- 25 years old or more","  9th to 12th grade, no diploma","Percentage.of.Respective.Population","10.0%"
"2013","Educational Attainment -- 25 years old or more","  High school graduate (includes equivalency)","Percentage.of.Respective.Population","26.3%"
"2013","Educational Attainment -- 25 years old or more","  Some college, no degree","Percentage.of.Respective.Population","12.6%"
"2013","Educational Attainment -- 25 years old or more","  Associate's degree","Percentage.of.Respective.Population","8.9%"
"2013","Educational Attainment -- 25 years old or more","  Bachelor's degree","Percentage.of.Respective.Population","16.8%"
"2013","Educational Attainment -- 25 years old or more","  Graduate or professional degree","Percentage.of.Respective.Population","6.3%"
"2013","Educational Attainment -- 25 to 34 years old","  High school graduate or higher","Percentage.of.Respective.Population","84.9%"
"2013","Educational Attainment -- 25 to 34 years old","  Bachelor's degree or higher","Percentage.of.Respective.Population","27.9%"
"2013","Educational Attainment -- 35 to 44 years old","  High school graduate or higher","Percentage.of.Respective.Population","83.0%"
"2013","Educational Attainment -- 35 to 44 years old","  Bachelor's degree or higher","Percentage.of.Respective.Population","29.7%"
"2013","Educational Attainment -- 45 to 64 years old","  High school graduate or higher","Percentage.of.Respective.Population","73.3%"
"2013","Educational Attainment -- 45 to 64 years old","  Bachelor's degree or higher","Percentage.of.Respective.Population","23.7%"
"2013","Educational Attainment -- 65 years old or more","  High school graduate or higher","Percentage.of.Respective.Population","45.1%"
"2013","Educational Attainment -- 65 years old or more","  Bachelor's degree or higher","Percentage.of.Respective.Population","12.4%"
"2013","Poverty Rate for the Population 25 and over","  Less than high school graduate","Percentage.of.Respective.Population","61.3%"
"2013","Poverty Rate for the Population 25 and over","  High school graduate (includes equivalency)","Percentage.of.Respective.Population","45.3%"
"2013","Poverty Rate for the Population 25 and over","  Some college or associate's degree","Percentage.of.Respective.Population","32.9%"
"2013","Poverty Rate for the Population 25 and over","  Bachelor's degree or higher","Percentage.of.Respective.Population","13.2%"
"2013","Median Earnings","    Less than high school graduate","Percentage.of.Respective.Population","10,807"
"2013","Median Earnings","    High school graduate (includes equivalency)","Percentage.of.Respective.Population","14,588"
"2013","Median Earnings","    Some college or associate's degree","Percentage.of.Respective.Population","17,321"
"2013","Median Earnings","    Bachelor's degree","Percentage.of.Respective.Population","26,025"
"2013","Median Earnings","    Graduate or professional degree","Percentage.of.Respective.Population","37,218"
"2014","Educational Attainment -- 18 to 24 years old","Less than high school graduate","Percentage.of.Respective.Population","13.9%"
"2014","Educational Attainment -- 18 to 24 years old","High school graduate (includes equivalency)","Percentage.of.Respective.Population","28.8%"
"2014","Educational Attainment -- 18 to 24 years old","Some college or associate's degree","Percentage.of.Respective.Population","50.8%"
"2014","Educational Attainment -- 18 to 24 years old","Bachelor's degree or higher","Percentage.of.Respective.Population","6.5%"
"2014","Educational Attainment -- 25 years old or more","  Less than 9th grade","Percentage.of.Respective.Population","18.2%"
"2014","Educational Attainment -- 25 years old or more","  9th to 12th grade, no diploma","Percentage.of.Respective.Population","9.8%"
"2014","Educational Attainment -- 25 years old or more","  High school graduate (includes equivalency)","Percentage.of.Respective.Population","26.8%"
"2014","Educational Attainment -- 25 years old or more","  Some college, no degree","Percentage.of.Respective.Population","12.5%"
"2014","Educational Attainment -- 25 years old or more","  Associate's degree","Percentage.of.Respective.Population","9.1%"
"2014","Educational Attainment -- 25 years old or more","  Bachelor's degree","Percentage.of.Respective.Population","17.0%"
"2014","Educational Attainment -- 25 years old or more","  Graduate or professional degree","Percentage.of.Respective.Population","6.6%"
"2014","Educational Attainment -- 25 to 34 years old","  High school graduate or higher","Percentage.of.Respective.Population","85.6%"
"2014","Educational Attainment -- 25 to 34 years old","  Bachelor's degree or higher","Percentage.of.Respective.Population","28.6%"
"2014","Educational Attainment -- 35 to 44 years old","  High school graduate or higher","Percentage.of.Respective.Population","83.6%"
"2014","Educational Attainment -- 35 to 44 years old","  Bachelor's degree or higher","Percentage.of.Respective.Population","30.3%"
"2014","Educational Attainment -- 45 to 64 years old","  High school graduate or higher","Percentage.of.Respective.Population","74.6%"
"2014","Educational Attainment -- 45 to 64 years old","  Bachelor's degree or higher","Percentage.of.Respective.Population","24.4%"
"2014","Educational Attainment -- 65 years old or more","  High school graduate or higher","Percentage.of.Respective.Population","47.4%"
"2014","Educational Attainment -- 65 years old or more","  Bachelor's degree or higher","Percentage.of.Respective.Population","13.1%"
"2014","Poverty Rate for the Population 25 and over","  Less than high school graduate","Percentage.of.Respective.Population","61.8%"
"2014","Poverty Rate for the Population 25 and over","  High school graduate (includes equivalency)","Percentage.of.Respective.Population","46.1%"
"2014","Poverty Rate for the Population 25 and over","  Some college or associate's degree","Percentage.of.Respective.Population","33.7%"
"2014","Poverty Rate for the Population 25 and over","  Bachelor's degree or higher","Percentage.of.Respective.Population","13.6%"
"2014","Median Earnings","    Less than high school graduate","Percentage.of.Respective.Population","10,891"
"2014","Median Earnings","    High school graduate (includes equivalency)","Percentage.of.Respective.Population","14,902"
"2014","Median Earnings","    Some college or associate's degree","Percentage.of.Respective.Population","17,373"
"2014","Median Earnings","    Bachelor's degree","Percentage.of.Respective.Population","26,135"
"2014","Median Earnings","    Graduate or professional degree","Percentage.of.Respective.Population","36,955"
