"naics_code","naics_title_code","variable","value"
"5111","     Newspaper, periodical, book, and directory","year_2011","95.001000000000005"
"5112","     Software publishers","year_2011","8.5719999999999992"
"5170","   Telecommunications","year_2011","453.07600000000002"
"5180","   Internet service providers, web search portals, ","year_2011","106.92"
"5190","   Other information services","year_2011","4.0339999999999998"
"5413","   Architectural, engineering, and related ","year_2011","191.845"
"5414","   Specialized design services","year_2011","7.4080000000000004"
"5415","   Computer systems design and related ","year_2011","129.43700000000001"
"5416","   Management, scientific, and technical ","year_2011","218.88499999999999"
"5417","   Scientific research and development ","year_2011","18.077999999999999"
"6114","   Business schools and computer and ","year_2011","20.693999999999999"
"6215","     Medical and diagnostic laboratories","year_2011","137.024"
"6220","   Hospitals","year_2011","1024.8019999999999"
"5111","     Newspaper, periodical, book, and directory","year_2012","97.096999999999994"
"5112","     Software publishers","year_2012","9.7379999999999995"
"5170","   Telecommunications","year_2012","445.34100000000001"
"5180","   Internet service providers, web search portals, ","year_2012","110.70699999999999"
"5190","   Other information services","year_2012","3.9849999999999999"
"5413","   Architectural, engineering, and related ","year_2012","204.614"
"5414","   Specialized design services","year_2012","7.9089999999999998"
"5415","   Computer systems design and related ","year_2012","132.839"
"5416","   Management, scientific, and technical ","year_2012","260.51"
"5417","   Scientific research and development ","year_2012","20.64"
"6114","   Business schools and computer and ","year_2012","24.367000000000001"
"6215","     Medical and diagnostic laboratories","year_2012","145.255"
"6220","   Hospitals","year_2012","1069.127"
"5111","     Newspaper, periodical, book, and directory","year_2013","100.614"
"5112","     Software publishers","year_2013","10.259"
"5170","   Telecommunications","year_2013","445.98500000000001"
"5180","   Internet service providers, web search portals, ","year_2013","98.980999999999995"
"5190","   Other information services","year_2013","4.0229999999999997"
"5413","   Architectural, engineering, and related ","year_2013","212.761"
"5414","   Specialized design services","year_2013","8.5570000000000004"
"5415","   Computer systems design and related ","year_2013","143.63800000000001"
"5416","   Management, scientific, and technical ","year_2013","290.36700000000002"
"5417","   Scientific research and development ","year_2013","23.695"
"6114","   Business schools and computer and ","year_2013","26.672000000000001"
"6215","     Medical and diagnostic laboratories","year_2013","154.18"
"6220","   Hospitals","year_2013","1096.5129999999999"
"5111","     Newspaper, periodical, book, and directory","year_2014","105.684"
"5112","     Software publishers","year_2014","13.612"
"5170","   Telecommunications","year_2014","448.63"
"5180","   Internet service providers, web search portals, ","year_2014","102.20699999999999"
"5190","   Other information services","year_2014","4.2729999999999997"
"5413","   Architectural, engineering, and related ","year_2014","213.67500000000001"
"5414","   Specialized design services","year_2014","9.4"
"5415","   Computer systems design and related ","year_2014","150.048"
"5416","   Management, scientific, and technical ","year_2014","303.404"
"5417","   Scientific research and development ","year_2014","25.744"
"6114","   Business schools and computer and ","year_2014","29.645"
"6215","     Medical and diagnostic laboratories","year_2014","163.16900000000001"
"6220","   Hospitals","year_2014","1119.3889999999999"
