"level","first_second_major","cip_description","year","sum"
"Bachelor","First major","Communications Technology/Technician","2012",37
"Bachelor","First major","Communications Technologies/Technicians and Support Services, Other","2012",NA
"Bachelor","First major","Computer and Information Sciences and Support Services","2012",629
"Bachelor","First major","Engineering","2012",1138
"Bachelor","First major","Engineering Technologies and Engineering-related Fields","2012",240
"Bachelor","First major","Biological and Biomedical Sciences","2012",1361
"Bachelor","First major","Mathematics and Statistics","2012",17
"Bachelor","First major","Biological and Physical Sciences","2012",NA
"Bachelor","First major","Mathematics and Computer Science","2012",NA
"Bachelor","First major","Science, Technology and Society","2012",NA
"Bachelor","First major","Natural Sciences","2012",196
"Bachelor","First major","Computational Science","2012",NA
"Bachelor","First major","Human Computer Interaction","2012",NA
"Bachelor","First major","Electrical/Electronics Maintenance and Repair Technology","2012",0
"Bachelor","First major","Precision Systems Maintenance and Repair Technologies","2012",NA
"Bachelor","First major","Medical Illustration and Informatics","2012",NA
"Bachelor","First major","Physical Sciences","2012",273
"Bachelor","First major","Science Technologies/Technicians","2012",8
"Doctor","First major","Biological and Biomedical Sciences","2012",21
"Doctor","First major","Biological and Physical Sciences","2012",0
"Doctor","First major","Communications Technologies/Technicians and Support Services, Other","2012",0
"Doctor","First major","Communications Technology/Technician","2012",0
"Doctor","First major","Computational Science","2012",0
"Doctor","First major","Computer and Information Sciences and Support Services","2012",1
"Doctor","First major","Electrical/Electronics Maintenance and Repair Technology","2012",0
"Doctor","First major","Engineering","2012",11
"Doctor","First major","Engineering Technologies and Engineering-related Fields","2012",0
"Doctor","First major","Human Computer Interaction","2012",0
"Doctor","First major","Mathematics and Computer Science","2012",0
"Doctor","First major","Mathematics and Statistics","2012",1
"Doctor","First major","Medical Illustration and Informatics","2012",0
"Doctor","First major","Natural Sciences","2012",0
"Doctor","First major","Physical Sciences","2012",25
"Doctor","First major","Precision Systems Maintenance and Repair Technologies","2012",0
"Doctor","First major","Science Technologies/Technicians","2012",0
"Doctor","First major","Science, Technology and Society","2012",0
"Master","First major","Computer and Information Sciences and Support Services","2012",98
"Master","First major","Engineering","2012",179
"Master","First major","Engineering Technologies and Engineering-related Fields","2012",90
"Master","First major","Biological and Biomedical Sciences","2012",81
"Master","First major","Mathematics and Statistics","2012",25
"Master","First major","Biological and Physical Sciences","2012",NA
"Master","First major","Mathematics and Computer Science","2012",NA
"Master","First major","Science, Technology and Society","2012",NA
"Master","First major","Natural Sciences","2012",NA
"Master","First major","Computational Science","2012",NA
"Master","First major","Human Computer Interaction","2012",NA
"Master","First major","Physical Sciences","2012",13
"Master","First major","Science Technologies/Technicians","2012",NA
"Master","First major","Electrical/Electronics Maintenance and Repair Technology","2012",NA
"Master","First major","Precision Systems Maintenance and Repair Technologies","2012",NA
"Master","First major","Medical Illustration and Informatics","2012",NA
