"cip_code","cip_description","level","year","sum"
"10.01","Communications Technology/Technician","Bachelor","2012",37
"10.99","Communications Technologies/Technicians and Support Services, Other","Bachelor","2012",0
"11","Computer and information sciences and support services","Bachelor","2012",629
"14","Engineering","Bachelor","2012",1138
"15","Engineering technologies and engineering-related fields","Bachelor","2012",240
"26","Biological and biomedical sciences","Bachelor","2012",1361
"27","Mathematics and statistics","Bachelor","2012",17
"30.01","Biological and Physical Sciences","Bachelor","2012",0
"30.08","Mathematics and Computer Science","Bachelor","2012",0
"30.15","Science, Technology and Society","Bachelor","2012",0
"30.18","Natural Sciences","Bachelor","2012",196
"30.30","Computational Science","Bachelor","2012",0
"30.31","Human Computer Interaction","Bachelor","2012",0
"47.01","Electrical/Electronics Maintenance and Repair Technology","Bachelor","2012",0
"47.04","Precision Systems Maintenance and Repair Technologies","Bachelor","2012",0
"51.27","Medical Illustration and Informatics","Bachelor","2012",0
"40","Physical sciences","Bachelor","2012",273
"41","Science technologies/technicians","Bachelor","2012",8
"26","Biological and biomedical sciences","Doctor","2012",21
"30.01","Biological and Physical Sciences","Doctor","2012",0
"10.99","Communications Technologies/Technicians and Support Services, Other","Doctor","2012",0
"10.01","Communications Technology/Technician","Doctor","2012",0
"30.30","Computational Science","Doctor","2012",0
"11","Computer and information sciences and support services","Doctor","2012",1
"47.01","Electrical/Electronics Maintenance and Repair Technology","Doctor","2012",0
"14","Engineering","Doctor","2012",11
"15","Engineering technologies and engineering-related fields","Doctor","2012",0
"30.31","Human Computer Interaction","Doctor","2012",0
"30.08","Mathematics and Computer Science","Doctor","2012",0
"27","Mathematics and statistics","Doctor","2012",1
"51.27","Medical Illustration and Informatics","Doctor","2012",0
"30.18","Natural Sciences","Doctor","2012",0
"40","Physical sciences","Doctor","2012",25
"47.04","Precision Systems Maintenance and Repair Technologies","Doctor","2012",0
"41","Science technologies/technicians","Doctor","2012",0
"30.15","Science, Technology and Society","Doctor","2012",0
"11","Computer and information sciences and support services","Master","2012",98
"14","Engineering","Master","2012",179
"15","Engineering technologies and engineering-related fields","Master","2012",90
"26","Biological and biomedical sciences","Master","2012",81
"27","Mathematics and statistics","Master","2012",25
"30.01","Biological and Physical Sciences","Master","2012",0
"30.08","Mathematics and Computer Science","Master","2012",0
"30.15","Science, Technology and Society","Master","2012",0
"30.18","Natural Sciences","Master","2012",0
"30.30","Computational Science","Master","2012",0
"30.31","Human Computer Interaction","Master","2012",0
"40","Physical sciences","Master","2012",13
"41","Science technologies/technicians","Master","2012",0
"47.01","Electrical/Electronics Maintenance and Repair Technology","Master","2012",0
"47.04","Precision Systems Maintenance and Repair Technologies","Master","2012",0
"51.27","Medical Illustration and Informatics","Master","2012",0
