"cip_code","cip_description","level","year","sum"
10.01,"Communications Technology/Technician","Bachelor",2010,17
10.99,"Communications Technologies/Technicians and Support Services, Other","Bachelor",2010,0
11,"Computer and information sciences and support services","Bachelor",2010,511
14,"Engineering","Bachelor",2010,1193
15,"Engineering technologies and engineering-related fields","Bachelor",2010,237
26,"Biological and biomedical sciences","Bachelor",2010,1039
27,"Mathematics and statistics","Bachelor",2010,25
30.01,"Biological and Physical Sciences","Bachelor",2010,0
30.08,"Mathematics and Computer Science","Bachelor",2010,0
30.15,"Science, Technology and Society","Bachelor",2010,0
30.18,"Natural Sciences","Bachelor",2010,235
30.3,"Computational Science","Bachelor",2010,0
30.31,"Human Computer Interaction","Bachelor",2010,0
47.01,"Electrical/Electronics Maintenance and Repair Technology","Bachelor",2010,0
47.04,"Precision Systems Maintenance and Repair Technologies","Bachelor",2010,0
51.27,"Medical Illustration and Informatics","Bachelor",2010,0
40,"Physical sciences","Bachelor",2010,258
41,"Science technologies/technicians","Bachelor",2010,14
26,"Biological and biomedical sciences","Doctor",2010,25
30.01,"Biological and Physical Sciences","Doctor",2010,0
10.99,"Communications Technologies/Technicians and Support Services, Other","Doctor",2010,0
10.01,"Communications Technology/Technician","Doctor",2010,0
30.3,"Computational Science","Doctor",2010,0
11,"Computer and information sciences and support services","Doctor",2010,4
47.01,"Electrical/Electronics Maintenance and Repair Technology","Doctor",2010,0
14,"Engineering","Doctor",2010,12
15,"Engineering technologies and engineering-related fields","Doctor",2010,0
30.31,"Human Computer Interaction","Doctor",2010,0
30.08,"Mathematics and Computer Science","Doctor",2010,0
27,"Mathematics and statistics","Doctor",2010,2
51.27,"Medical Illustration and Informatics","Doctor",2010,0
30.18,"Natural Sciences","Doctor",2010,0
40,"Physical sciences","Doctor",2010,17
47.04,"Precision Systems Maintenance and Repair Technologies","Doctor",2010,0
41,"Science technologies/technicians","Doctor",2010,0
30.15,"Science, Technology and Society","Doctor",2010,0
11,"Computer and information sciences and support services","Master",2010,68
14,"Engineering","Master",2010,168
15,"Engineering technologies and engineering-related fields","Master",2010,106
26,"Biological and biomedical sciences","Master",2010,51
27,"Mathematics and statistics","Master",2010,24
30.01,"Biological and Physical Sciences","Master",2010,0
30.08,"Mathematics and Computer Science","Master",2010,0
30.15,"Science, Technology and Society","Master",2010,0
30.18,"Natural Sciences","Master",2010,0
30.3,"Computational Science","Master",2010,0
30.31,"Human Computer Interaction","Master",2010,0
40,"Physical sciences","Master",2010,36
41,"Science technologies/technicians","Master",2010,0
47.01,"Electrical/Electronics Maintenance and Repair Technology","Master",2010,0
47.04,"Precision Systems Maintenance and Repair Technologies","Master",2010,0
51.27,"Medical Illustration and Informatics","Master",2010,0
10.01,"Communications Technology/Technician","Bachelor",2011,34
10.99,"Communications Technologies/Technicians and Support Services, Other","Bachelor",2011,0
11,"Computer and information sciences and support services","Bachelor",2011,490
14,"Engineering","Bachelor",2011,1014
15,"Engineering technologies and engineering-related fields","Bachelor",2011,188
26,"Biological and biomedical sciences","Bachelor",2011,1116
27,"Mathematics and statistics","Bachelor",2011,36
30.01,"Biological and Physical Sciences","Bachelor",2011,0
30.08,"Mathematics and Computer Science","Bachelor",2011,0
30.15,"Science, Technology and Society","Bachelor",2011,0
30.18,"Natural Sciences","Bachelor",2011,171
30.3,"Computational Science","Bachelor",2011,0
30.31,"Human Computer Interaction","Bachelor",2011,0
47.01,"Electrical/Electronics Maintenance and Repair Technology","Bachelor",2011,0
47.04,"Precision Systems Maintenance and Repair Technologies","Bachelor",2011,0
51.27,"Medical Illustration and Informatics","Bachelor",2011,0
40,"Physical sciences","Bachelor",2011,235
41,"Science technologies/technicians","Bachelor",2011,6
26,"Biological and biomedical sciences","Doctor",2011,24
30.01,"Biological and Physical Sciences","Doctor",2011,0
10.99,"Communications Technologies/Technicians and Support Services, Other","Doctor",2011,0
10.01,"Communications Technology/Technician","Doctor",2011,0
30.3,"Computational Science","Doctor",2011,0
11,"Computer and information sciences and support services","Doctor",2011,0
47.01,"Electrical/Electronics Maintenance and Repair Technology","Doctor",2011,0
14,"Engineering","Doctor",2011,3
15,"Engineering technologies and engineering-related fields","Doctor",2011,0
30.31,"Human Computer Interaction","Doctor",2011,0
30.08,"Mathematics and Computer Science","Doctor",2011,0
27,"Mathematics and statistics","Doctor",2011,2
51.27,"Medical Illustration and Informatics","Doctor",2011,0
30.18,"Natural Sciences","Doctor",2011,0
40,"Physical sciences","Doctor",2011,18
47.04,"Precision Systems Maintenance and Repair Technologies","Doctor",2011,0
41,"Science technologies/technicians","Doctor",2011,0
30.15,"Science, Technology and Society","Doctor",2011,0
11,"Computer and information sciences and support services","Master",2011,73
14,"Engineering","Master",2011,110
15,"Engineering technologies and engineering-related fields","Master",2011,135
26,"Biological and biomedical sciences","Master",2011,60
27,"Mathematics and statistics","Master",2011,28
30.01,"Biological and Physical Sciences","Master",2011,0
30.08,"Mathematics and Computer Science","Master",2011,0
30.15,"Science, Technology and Society","Master",2011,0
30.18,"Natural Sciences","Master",2011,0
30.3,"Computational Science","Master",2011,0
30.31,"Human Computer Interaction","Master",2011,0
40,"Physical sciences","Master",2011,11
41,"Science technologies/technicians","Master",2011,0
47.01,"Electrical/Electronics Maintenance and Repair Technology","Master",2011,0
47.04,"Precision Systems Maintenance and Repair Technologies","Master",2011,0
51.27,"Medical Illustration and Informatics","Master",2011,0
10.01,"Communications Technology/Technician","Bachelor",2012,37
10.99,"Communications Technologies/Technicians and Support Services, Other","Bachelor",2012,0
11,"Computer and information sciences and support services","Bachelor",2012,629
14,"Engineering","Bachelor",2012,1138
15,"Engineering technologies and engineering-related fields","Bachelor",2012,240
26,"Biological and biomedical sciences","Bachelor",2012,1361
27,"Mathematics and statistics","Bachelor",2012,17
30.01,"Biological and Physical Sciences","Bachelor",2012,0
30.08,"Mathematics and Computer Science","Bachelor",2012,0
30.15,"Science, Technology and Society","Bachelor",2012,0
30.18,"Natural Sciences","Bachelor",2012,196
30.3,"Computational Science","Bachelor",2012,0
30.31,"Human Computer Interaction","Bachelor",2012,0
47.01,"Electrical/Electronics Maintenance and Repair Technology","Bachelor",2012,0
47.04,"Precision Systems Maintenance and Repair Technologies","Bachelor",2012,0
51.27,"Medical Illustration and Informatics","Bachelor",2012,0
40,"Physical sciences","Bachelor",2012,273
41,"Science technologies/technicians","Bachelor",2012,8
26,"Biological and biomedical sciences","Doctor",2012,21
30.01,"Biological and Physical Sciences","Doctor",2012,0
10.99,"Communications Technologies/Technicians and Support Services, Other","Doctor",2012,0
10.01,"Communications Technology/Technician","Doctor",2012,0
30.3,"Computational Science","Doctor",2012,0
11,"Computer and information sciences and support services","Doctor",2012,1
47.01,"Electrical/Electronics Maintenance and Repair Technology","Doctor",2012,0
14,"Engineering","Doctor",2012,11
15,"Engineering technologies and engineering-related fields","Doctor",2012,0
30.31,"Human Computer Interaction","Doctor",2012,0
30.08,"Mathematics and Computer Science","Doctor",2012,0
27,"Mathematics and statistics","Doctor",2012,1
51.27,"Medical Illustration and Informatics","Doctor",2012,0
30.18,"Natural Sciences","Doctor",2012,0
40,"Physical sciences","Doctor",2012,25
47.04,"Precision Systems Maintenance and Repair Technologies","Doctor",2012,0
41,"Science technologies/technicians","Doctor",2012,0
30.15,"Science, Technology and Society","Doctor",2012,0
11,"Computer and information sciences and support services","Master",2012,98
14,"Engineering","Master",2012,179
15,"Engineering technologies and engineering-related fields","Master",2012,90
26,"Biological and biomedical sciences","Master",2012,81
27,"Mathematics and statistics","Master",2012,25
30.01,"Biological and Physical Sciences","Master",2012,0
30.08,"Mathematics and Computer Science","Master",2012,0
30.15,"Science, Technology and Society","Master",2012,0
30.18,"Natural Sciences","Master",2012,0
30.3,"Computational Science","Master",2012,0
30.31,"Human Computer Interaction","Master",2012,0
40,"Physical sciences","Master",2012,13
41,"Science technologies/technicians","Master",2012,0
47.01,"Electrical/Electronics Maintenance and Repair Technology","Master",2012,0
47.04,"Precision Systems Maintenance and Repair Technologies","Master",2012,0
51.27,"Medical Illustration and Informatics","Master",2012,0
10.01,"Communications Technology/Technician","Bachelor",2013,42
10.99,"Communications Technologies/Technicians and Support Services, Other","Bachelor",2013,0
11,"Computer and information sciences and support services","Bachelor",2013,605
14,"Engineering","Bachelor",2013,1095
15,"Engineering technologies and engineering-related fields","Bachelor",2013,226
26,"Biological and biomedical sciences","Bachelor",2013,1429
27,"Mathematics and statistics","Bachelor",2013,24
30.01,"Biological and Physical Sciences","Bachelor",2013,0
