"naics_code","naics_title","year","ICT_share"
511,"Publishing Industries (except Internet)","2012","2.3%"
5111,"Newspaper, Periodical, Book, and Directory Publishers","2012","0.0%"
517,"Telecommunications","2012","5.9%"
518,"Data Processing, Hosting, and Related Services","2012","21.1%"
5191,"Other Information Services","2012","0.0%"
5413,"Architectural, Engineering, and Related Services","2012","0.0%"
5414,"Specialized Design Services","2012","0.0%"
5415,"Computer Systems Design and Related Services","2012","38.7%"
5416,"Management, Scientific, and Technical Consulting Services","2012","7.1%"
54171,"Research and Development in the Physical, Engineering, and Life Sciences","2012","0.0%"
6114,"Business Schools and Computer and Management Training (including private, state, and local government schools)","2012","0.0%"
6215,"Medical and Diagnostic Laboratories","2012","0.0%"
6221,"General Medical and Surgical Hospitals (including private, state, and local government hospitals)","2012","0.7%"
511,"Publishing Industries (except Internet)","2013","2.1%"
5111,"Newspaper, Periodical, Book, and Directory Publishers","2013","1.1%"
517,"Telecommunications","2013","5.5%"
518,"Data Processing, Hosting, and Related Services","2013","20.9%"
5191,"Other Information Services","2013","0.0%"
5413,"Architectural, Engineering, and Related Services","2013","0.0%"
5414,"Specialized Design Services","2013","0.0%"
5415,"Computer Systems Design and Related Services","2013","32.8%"
5416,"Management, Scientific, and Technical Consulting Services","2013","4.4%"
54171,"Research and Development in the Physical, Engineering, and Life Sciences","2013","0.0%"
6114,"Business Schools and Computer and Management Training (including private, state, and local government schools)","2013","NA%"
6215,"Medical and Diagnostic Laboratories","2013","0.0%"
6221,"General Medical and Surgical Hospitals (including private, state, and local government hospitals)","2013","0.6%"
511,"Publishing Industries (except Internet)","2014","4.3%"
5111,"Newspaper, Periodical, Book, and Directory Publishers","2014","0.0%"
517,"Telecommunications","2014","6.2%"
518,"Data Processing, Hosting, and Related Services","2014","9.3%"
5191,"Other Information Services","2014","0.0%"
5413,"Architectural, Engineering, and Related Services","2014","0.0%"
5414,"Specialized Design Services","2014","0.0%"
5415,"Computer Systems Design and Related Services","2014","27.8%"
5416,"Management, Scientific, and Technical Consulting Services","2014","4.6%"
54171,"Research and Development in the Physical, Engineering, and Life Sciences","2014","0.0%"
6114,"Business Schools and Computer and Management Training","2014","0.0%"
6215,"Medical and Diagnostic Laboratories","2014","0.0%"
6221,"General Medical and Surgical Hospitals","2014","0.5%"
