"naics_code","naics_title","ICT_share"
"511","Publishing Industries (except Internet)","2.3%"
"5111","Newspaper, Periodical, Book, and Directory Publishers","0.0%"
"517","Telecommunications","5.9%"
"518","Data Processing, Hosting, and Related Services","21.1%"
"5191","Other Information Services","0.0%"
"5413","Architectural, Engineering, and Related Services","0.0%"
"5414","Specialized Design Services","0.0%"
"5415","Computer Systems Design and Related Services","38.7%"
"5416","Management, Scientific, and Technical Consulting Services","7.1%"
"54171","Research and Development in the Physical, Engineering, and Life Sciences","0.0%"
"6114","Business Schools and Computer and Management Training","0.0%"
"6215","Medical and Diagnostic Laboratories","0.0%"
"6221","General Medical and Surgical Hospitals","0.7%"
