"year","concept","value"
"2013","total_households",1253690
"2013","households_with_internet",585087
"2013","connect_dialup",18819
"2013","nosubscription",46505
"2013","households_without_internet",622098
"2013","hholds_pct_hispeed",96.7835552661399
"2013","hholds_pct_nohispeed",3.21644473386009
"2014","total_households",1233490
"2014","households_with_internet",604929
"2014","connect_dialup",11859
"2014","nosubscription",43770
"2014","households_without_internet",584791
"2014","hholds_pct_hispeed",98.0396046478182
"2014","hholds_pct_nohispeed",1.96039535218183
