"year","concept","variable","value"
"2013","Total Households","value",1253690
"2013","    Households with Computers","value",712103
"2013","       With a Desktop/Laptop","value",602666
"2013","            As % of Total Households","value",56.8005647329085
"2013","       With a Handheld Computer","value",479828
"2013","        With Other Computer Types","value",49569
"2013","    Households without Computers","value",541587
"2013","        As % of Total Households","value",3.95384823999553
"2014","Total Households","value",1233490
"2014","    Households with Computers","value",695798
"2014","       With a Desktop/Laptop","value",556034
"2014","            As % of Total Households","value",56.4088886006372
"2014","       With a Handheld Computer","value",530919
"2014","        With Other Computer Types","value",67129
"2014","    Households without Computers","value",537692
"2014","        As % of Total Households","value",5.44220058533105
