"concept","year","value"
"patents_utility","2012",34
"patents_design","2012",5
"patents_plant","2012",0
"patents_reissue","2012",0
"total_nosirs","2012",39
"sirs","2012",0
"total_grand","2012",39
"patents_utility","2013",19
"patents_design","2013",1
"patents_plant","2013",0
"patents_reissue","2013",0
"total_nosirs","2013",20
"sirs","2013",0
"total_grand","2013",20
"patents_utility","2014",38
"patents_design","2014",3
"patents_plant","2014",0
"patents_reissue","2014",0
"total_nosirs","2014",41
"sirs","2014",0
"total_grand","2014",41
