"fix","trade_name_DBA","legal_corporate_name","EIN","NAICS","emp_m1","emp_m1_indic","emp_m2","emp_m2_indic","emp_m3","emp_m3_indic","tot_wages"
NA,"AT & T OF PUERTO RICO, INC.        ","AT & T OF PUERTO RICO, INC.        ","660177929","517110",99,"S",100,"S",100,"S",1428520
NA,"AT&T MOBILITY PUERTO RICO INC      ","AT&T MOBILITY PUERTO RICO INC      ","133120943","517210",1635,"S",1627,"S",1635,"S",21629285
NA,"HIMA-CAGUAS, HIMA-SAN PABLO DE     ","CENTRO MEDICO DEL TURABO, INC.     ","660465905","622110",4579,"S",4586,"S",4625,"S",36954076
NA,"HATO REY PATHOLOGY ASSOCIATES      ","HATO REY PATHOLOGY ASSOCIATES INC  ","660700383","621511",133,"R",131,"R",133,"R",894664
NA,"HEALTH LABORATORIES SERVICES I     ","HEALTH LABORATORIES SERVICES INC.  ","660487554","621511",53,"S",53,"S",53,"S",465571
NA,"INSIGHT RADIOLOGY                  ","INSIGHT MANAGEMENT GROUP INC       ","660612428","621512",61,"S",60,"S",59,"S",366258
NA,"ADVANCED RADIOLOGY CENTER          ","JESUS A ROMERO PEREZ               ","660547145","621512",17,"R",17,"R",17,"R",112592
NA,"LAB.CLINICO BORINQUEN INC          ","LAB CLINICO BORINQUEN INC          ","660290300","621511",476,"S",475,"S",491,"S",3474022
NA,"LABORATORIO CLINICO CHEGAR INC     ","LABORATORIO CLINICO CHEGAR INC     ","660356613","621511",58,"R",58,"R",58,"R",311325
NA,"LAB.CLINICO IRIZARRY GUASCH INC    ","LABORATORIO CLINICO IRIZARRY GUASCH","660663715","621511",86,"S",81,"S",88,"S",389165
NA,"LABORATORIOS CLINICOS BACO INC     ","LABORATORIOS CLINICOS BACO INC     ","660568306","621511",20,"R",21,"R",20,"R",82314
NA,"LIBERTY CABLEVISION OF PUERTO      ","LIBERTY CABLEVISION OF PUERTO RICO ","660659935","517110",687,"S",682,"S",616,"S",7887942
NA,"MENNONITE GENERAL HOSPITAL INC.    ","MENNONITE GENERAL HOSPITAL INC.    ","660219758","622110",2148,"S",2173,"S",2174,"S",14717903
NA,"PERIODICO EL ORIENTAL INC          ","PERIODICO EL ORIENTAL INC          ","660374485","511120",21,"S",21,"S",20,"S",109233
NA,"PUERTO RICO TELEPHONE CO INC       ","PUERTO RICO TELEPHONE CO INC       ","660564397","517110",3931,"S",3665,"S",3665,"S",35053490
NA,"QUEST DIAGNOSTICS OF PUERTO RI     ","QUEST DIAGNOSTICS OF PUERTO RICO IN","660605229","621511",234,"S",234,"S",246,"S",2007435
NA,"RYTHEON SERVICE COMPANY PR         ","RAYTHEON SERVICES COMPANY OF PR    ","043073945","517919",36,"S",36,"S",36,"S",422788
NA,"RYDER MEMORIAL HOSPITAL INC.       ","RYDER MEMORIAL HOSPITAL INC        ","660258919","622110",874,"S",877,"S",878,"S",5910231
NA,"SALUD INTEGRAL EN LA MONTANA       ","SALUD INTEGRAL EN LA MONTANA INC   ","660329532","622110",364,"S",365,"S",367,"S",2649637
NA,"HOSP. METROP. SAN GERMAN           ","SOUTHWEST HEALTH CORP              ","660558678","622110",377,"S",381,"S",381,"S",2344642
NA,"SPRINT INTERNATIONAL CARIBE,IN     ","SPRINT INTERNATIONAL CARIBE, INC.  ","660469564","517110",162,"S",154,"S",152,"S",2202465
NA,"T-MOBILE PUERTO RICO, LLC          ","T-MOBILE PUERTO RICO, LLC          ","660649631","517110",577,"R",569,"R",581,"R",9271170
NA,"XEROX BUSINESS SOLUT OF PR INC     ","XEROX BUSINESS SOLUTIONS OF PUERTO ","660770871","518210",503,"S",482,"S",520,"S",2361353
