"naics_code","naics_desc","firm_num"
"5111","Newspaper, Periodical, Book, and Directory Publishers",30
"5112","Software Publishers",4
"517","Telecommunications",31
"518","Data Processing, Hosting, and Related Services",14
"51913","Internet Publishing and Broadcasting and Web Search Portals",3
"5413","Architectural, Engineering, and Related Services",302
"5414","Specialized Design Services",24
"5415","Computer Systems Design and Related Services",118
"5416","Management, Scientific, and Technical Consulting Services",167
"541711","Research and Development in Biotechnology ",4
"541712","Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology) ",10
"61142","Computer Training",4
"62151","Medical and Diagnostic Laboratories",390
"6221","General Medical and Surgical Hospitals",40
"","Total",1141
