"cip_code","cip_description","year","N"
"26","Biological and biomedical sciences","2013",37
"30.01","Biological and Physical Sciences","2013",0
"10.99","Communications Technologies/Technicians and Support Services, Other","2013",0
"10.01","Communications Technology/Technician","2013",1
"30.30","Computational Science","2013",0
"11","Computer and information sciences and support services","2013",41
"47.01","Electrical/Electronics Maintenance and Repair Technology","2013",1
"14","Engineering","2013",9
"15","Engineering technologies and engineering-related fields","2013",13
"30.31","Human Computer Interaction","2013",0
"30.08","Mathematics and Computer Science","2013",0
"27","Mathematics and statistics","2013",13
"51.27","Medical Illustration and Informatics","2013",0
"30.18","Natural Sciences","2013",6
"40","Physical sciences","2013",18
"47.04","Precision Systems Maintenance and Repair Technologies","2013",0
"41","Science technologies/technicians","2013",2
"30.15","Science, Technology and Society","2013",0
